text,cat,topic,cluster,level
japanese entrepreneur takahito iguchi think google glass cool may right there’s already website picture people wearing – people look ridiculous smug often search google image google glass one first picture large naked man wearing shower iguchi hope google’s weak point designed glass bit stylish bit japanese,ele,Japan,1.0,0
iguchi’s glass aren’t really glass – piece metal camera small projector glass called telepathy one since first presented public texas attracted million investor like glass able buy telepathy one,ele,Japan,1.0,0
it’s simple version google glass glass many u – surf internet read email take photograph – telepathy “more communication machine” connected phone allow realtime visual audio sharing you’ll able post photo video see facebook send email see speak video image friend,ele,Japan,1.0,0
“it help bring close friend family focused communication sharing possibilities” say iguchi worked japanese technology industry year “i’m visionary” say “i dream people understand people go london stranger believe everyone want people understand understand people glass know information people even speak them”,ele,Japan,1.0,0
iguchi growing japanese technology ruled world sony walkman popular iphone compete leave tokyo go silicon valley “tokyo rich fashion culture it’s still island it’s isolated way expand silicon valley everyone everywhere it’s come connect world” make glass japan software u,ele,Japan,1.0,0
easy build prototype telepathy one iguchi say “we every sort technology tokyo problem presenting world” top manufacturer want work say technology find difficult sell “there need story product apple story ipod – song pocket steve job inspired akio morita cofounder sony inspired maybe come circle”,ele,Japan,1.0,0
like steve job iguchi confident man strong japanese accent make difficult understand possible fact helped find idea telepathy one visited london stayed someone didn’t know “he friend talked three hour friend long take understand share feeling background career maybe telepathy make quicker getting information cloud social network happen easily”,ele,Japan,1.0,0
iguchi hope telepathy one help people see people’s point view,ele,Japan,1.0,0
student explains studied philosophy day taught code night “and one day opened door apartment suddenly realized everything code everything coded shared human everything encoded decoded code exchanged human end war”,ele,Japan,1.0,0
difficult know exactly noise coming hear everywhere damascus day night hear sound gun rocket plane attacking rebel – sound war getting closer syria’s capital syrian war began two year ago people damascus try listen sound explosion mile away,ele,Syria,1.0,0
“actually get used while” said george life city “but never know exactly hitting” usually becomes clear later video opposition put youtube,ele,Syria,1.0,0
constant noise bomb worrying government try hard pretend life normal “as see everything fine hit terrorist extremists” army officer said one government official said “if afraid would shut door stay inside work afraid don’t defend country will”,ele,Syria,1.0,0
private conversation ordinary people say something different centre town shopkeeper complained sadly baby daughter cry sound explosion zeina student worry learnt live suffering danger “in beginning started explosion used nightmares” said “now sleep anything”,ele,Syria,1.0,0
danger increasing even closer home sabaa bahrat square safest part damascus recently car bomb exploded damaged syrian central bank square often used progovernment rally people shouting slogan enormous picture president bashar alassad,ele,Syria,1.0,0
bombing worst one damascus recent month february report say people including schoolchildren died near ruling ba’ath party headquarters mazraa still see crater “i live nearby luckily wasn’t there” say munir university lecturer,ele,Syria,1.0,0
rebel close city recently started fire mortar bomb bomb killed student university cafeteria march probably wanted hit government building,ele,Syria,1.0,0
july bomb killed four assad’s senior aide security increased concrete barrier – often painted syrian flag’s black red white – protect official building military defence installation obvious target,ele,Syria,1.0,0
moving around city become difficult take lot time – another part life today nervous city checkpoint main road stop traffic id check bag searched explosive driver official permission use special fast lane avoid wait,ele,Syria,1.0,0
one question everyone’s mind battle damascus – one world’s oldest city – like one badly damaged aleppo one view battle syria’s capital yet – summer perhaps others argue probably complete victory either side hope political solution come abroad people expect thing get better,ele,Syria,1.0,0
valdevaqueros one last unspoilt beach southern spain road beach filled camper van germany france italy britain camper van bring windsurfers kitesurfers attracted strong wind area,ele,Spain,1.0,0
valdevaqueros beach different beach torremolinos marbella full hotel concrete earlier local council tarifa said’yes’ plan build tourist complex next beach environmental group angry say project harm habitat protected animal plant council want create job people live tarifa work spain worst economic crisis fifty year,ele,Spain,1.0,0
“traditional job like fishing finishing tourism solution” said sebastián galindo councillor socialist party galindo say complex break law law stop ugly development like spoilt lot spain’s beach law say complex must least metre coast much farther – metre,ele,Spain,1.0,0
people say house needed spain country already million empty house galindo say unfair migrant worker came spain economy good many worker morocco km away across sea see tarifa,ele,Spain,1.0,0
surfer fear new building valdevaqueros would make famous local wind le strong would attract people want traditional beach holiday “it’s really place family wind strong” said henning mayer germany “ten year ago said would build new highway didn’t happen think impossible build new hotels”,ele,Spain,1.0,0
tarifa southern point spain africa europe meet mediterranean sea meet atlantic also important place animal,ele,Spain,1.0,0
hour tarifa council voted project campaign started save beach campaign facebook page supported group including greenpeace world wide fund nature andalusian college geographer also project – say complex would disturb two wildlife conservation area cross border national park,ele,Spain,1.0,0
“they think money important laws” said raúl romeva member european parliament romeva belief project wrong site little water town already little water hot summer weather andalusía,ele,Spain,1.0,0
many local people also want know want built complex km away think would better near tarifa’s beautiful old centre “we agree complex creates job town” said cristóbal lobato worked beach bar tarifa year “if put centre tarifa space tourist could visit shop bar restaurants”,ele,Spain,1.0,0
standing green field want build complex biologist aitor galán said “in country would protect place want build lot building want place become benidorm attracts people wild animal wind”,ele,Spain,1.0,0
moroccan city ouarzazate edge sahara desert centre four linked solar megaplants plant together hydro wind give morocco north africa nearly half electricity renewable energy project key part morocco ’s plan use desert become global solar superpower,ele,Morocco,1.0,0
full complex complete largest concentrated solar power plant world first phase called noor ready november mirror technology u expensive solar panel see roof world able produce power even sun go,ele,Morocco,1.0,0
people known many year desert useful place produce solar energy german scientist gerhard knies said world’s desert receive enough energy hour make power people world whole year challenge capture energy take needed,ele,Morocco,1.0,0
noor moonshaped solar mirror row mirror follow sun across sky whir quietly every minute,ele,Morocco,1.0,0
finished four plant ouarzazate big morocco’s capital city rabat make megawatt electricity enough million home,ele,Morocco,1.0,0
solar energy make third morocco’s renewable energy supply wind hydro make twothirds,ele,Morocco,1.0,0
“we proud project” morocco’s environment minister hakima elhaite said “i think important solar plant world”,ele,Morocco,1.0,0
noor plant planned open store energy eight hour mean could solar energy available sahara rest region,ele,Morocco,1.0,0
“we already involved transportation line take energy south morocco mauritania” say ahmed baroudi manager national renewable energy investment company say project go – even far middle east,ele,Morocco,1.0,0
exporting solar energy could stabilizing effect within country according moroccan solar energy agency masen morocco making plan tunisia hope export energy north across mediterranean,ele,Morocco,1.0,0
“we believe ’s possible export energy europe first build connection don’t yet exist ” said maha elkadiri masen spokeswoman,ele,Morocco,1.0,0
time solar energy used morocco might one day use solar energy remove salt sea water,ele,Morocco,1.0,0
small room look like classroom poster wall show letter alphabet map bangladesh,ele,Bangladeshi organization,1.0,0
hard concentrate – loud hammering chemical air hurt throat eye child learn threesquaremetre room lucky escaped working factory opposite,ele,Bangladeshi organization,1.0,0
year sohay nongovernmental organization ngo worked slum dhaka send child worker school especially try help child dangerous work,ele,Bangladeshi organization,1.0,0
classroom one centre sohay set dhaka class centre help child enter primary school school child get extra help homework centre,ele,Bangladeshi organization,1.0,0
alamin ten year old used work plastic factory go one centre parent happy he’s school dangerous work friend rabi say want forget past factory “i like school” say,ele,Bangladeshi organization,1.0,0
sohay also class parent manager stop child labour difficult working child go school like child stop working sometimes find difficult make friend adapt school also difficult make sure stay school – lot child don’t finish school,ele,Bangladeshi organization,1.0,0
sevenyearold zhorna akter sumayya two older brother – work one restaurant one local club went sohay centre go school family live slum parent need money son make want daughter go school,ele,Bangladeshi organization,1.0,0
sohay helped child leave dangerous work helped child – would soon start work – go school child preparing start school,ele,Bangladeshi organization,1.0,0
labour law bangladesh allow child younger work unicef say bangladesh million child younger employed million child aged five dangerous work,ele,Bangladeshi organization,1.0,0
new report say almost one billion people remain extreme poverty country don’t try solve social economic cultural problem keep poor report chronic poverty advisory network say many people may rise poverty line day fall back problem drought illness insecurity conflict,ele,Poverty,1.0,0
report found part rural kenya south africa people escaped poverty fell back percentage rose area ethiopia even successful country indonesia vietnam proportion,ele,Poverty,1.0,0
individual example show easy people fall back poverty amin village bangladesh income fallen slowly illness wife’s illness cost son’s marriage death father loss good fishing net lovemore zimbabwe one poorest people village recently lost job ill health look five grandchild death daughter,ele,Poverty,1.0,0
“we need make sure people come poverty remain poverty line permanently many family return poverty personal bigger problem government shouldn’t assume somebody’s income hit mean problem solved” said andrew shepherd main author report,ele,Poverty,1.0,0
according un goal eliminating extreme poverty still possible report say country need make change achieve zero poverty drop extreme poverty billion billion report say progress next year much difficult lot progress china probably similar progress part world,ele,Poverty,1.0,0
report say country try help chronically poor – poor many year entire life – stop people becoming poor “governments quite good moving people poverty line quite easy avoided difficult job trying reduce chronic poverty” said shepherd,ele,Poverty,1.0,0
report say progress poverty reduction helped people already closer poverty line helped chronically poor much le possible get zero poverty development policy don’t focus chronically poor add report suggests three idea cost lot money,ele,Poverty,1.0,0
first social help – bring poorest people closer goodenough standard living second education early childhood start work people escape stay poverty third economic growth policy make sure benefit increasing national wealth reach poorest people,ele,Poverty,1.0,0
cost money report say higher tax necessary aid also necessary startup cost social assistance healthcare everyone finance education “there remains huge role aid next year many developing country spend le citizen year even nigeria oil wealth spends per person” shepherd said,ele,Poverty,1.0,0
author say government national development plan make sure poorest people represented politically well trying stop difficult social custom dowry witchcraft make extreme poverty worse,ele,Poverty,1.0,0
pope benedict xvi elected said “a simple humble worker god’s vineyard” grey cold windy monday february resigned way like old workman pain back strength arm first german pope modern time gave exact departure time “from february hours” told gathering cardinal vatican “the see rome see saint peter vacant election new pope”,ele,Pope,1.0,0
one cardinal gathering mexican cardinal monsignor oscar sanchéz barba guadalajara rome official meeting “we apostolic palace” said “the pope took sheet paper read,ele,Pope,1.0,0
“we …” – sanchéz barba couldn’t find word cardinal heard man believe god’s representative earth resign “the cardinal looking one another” sanchéz barba said,ele,Pope,1.0,0
angelo sodano dean college cardinal probably already knew pope’s decision gave short speech told pope cardinal would loyal added others present listened pope’s word feeling confusion end speech pope blessed cardinal left “it simple simplest thing imagine” said sanchéz barba “then left silence absolute silence … sadness”,ele,Pope,1.0,0
john thavis spent year reporting vatican book vatican diary published soon said feeling pope going resign thavis said long interview benedict gave german journalist said would resign felt could longer job “i asked pope wanted resign would choose completed series book project also date calendar event attend thought likely date february got wrong”,ele,Pope,1.0,0
soon announcement vatican saying pope’s decision brave thavis agreed “what find particularly courageous going sick he’s leaving he’s tired he’s ill” whole story pope know state health vatican far made public,ele,Pope,1.0,0
benedict said resigning physical reason also psychological reason said position pope needed strength mind strength body last month felt slowly losing strength doubt theory future day week following death pope john paul day election already people saying secret benedict’s past somebody going tell everyone vatican doubt say story nonsense understand people think might secret benedict’s decision historic,ele,Pope,1.0,0
st peter’s basilica julia rochester london still didn’t know pope’s resignation meant “if you’re god’s chosen person choose chosen” asked question many catholic asking priest future week,ele,Pope,1.0,0
rebecka singerer often told beer want dark strong men often tell “have something sweeter”,ele,Revolution,1.0,0
“no don’t want fruit beer woman drink whatever want” say,ele,Revolution,1.0,0
singerer childminder joined female group female drinker gothenburg make sell beer sweden’s first beer made woman,ele,Revolution,1.0,0
people sweden buy bottled pale ale label similar rosie riveter created part u second world war poster poster became symbol women’s power work,ele,Revolution,1.0,0
person started group elin carlsson paint car volvo factory outside city “we female beer beer brewed woman anyone drink” say “it’s nothing feminism it’s equality – wanted show it”,ele,Revolution,1.0,0
lot prejudice beer world carlsberg big brewer spent million trying sell beer woman carlsberg’s eve copenhagen beer foster ’s radler coors’s animée beer tried sell woman – lighter flavoured beer – unsuccessful,ele,Revolution,1.0,0
female’s way making beer different invite woman tasting allow woman try flavour style beer may normally try tasting way “get girl beer world” group say “bring mother sister girlfriend aunt grandmother learn beer”,ele,Revolution,1.0,0
felicia nordström’s idea bar worker say fed male beer snob telling “what know beer”,ele,Revolution,1.0,0
talked female joined ocean local independent microbrewery one weekend created recipe next weekend brewed litre,ele,Revolution,1.0,0
beer aimed women” say thomas bingebo head brewer ocean “when big brewery target woman usually fails something completely different”,ele,Revolution,1.0,0
first bottle sold straight away brewery already asked female brew new beer,ele,Revolution,1.0,0
“women choose glass wine don’t know beer don’t know order” say carlsson “we open new world them”,ele,Revolution,1.0,0
vienna world’s best city live baghdad worst london paris new york top say international study quality life,ele,Vienna,1.0,0
germanspeaking city well th mercer quality life study vienna zurich munich dusseldorf frankfurt top seven,ele,Vienna,1.0,0
paris fell ten place th mostly terrorist attack city paris london th place,ele,Vienna,1.0,0
study looked economy health education housing environment big company use result study decide open office factory much pay employee,ele,Vienna,1.0,0
helena hartlauer vienna said surprised city’s top position many year vienna’s government spent money good social housing make vienna cheap place live compared big city,ele,Vienna,1.0,0
“i live squaremetre apartment good area minutes’ walk city centre,ele,Vienna,1.0,0
rent € £ month” similar apartment london cost £ even new york came th study,ele,Vienna,1.0,0
u city badly study mostly worry personal safety crime u city top position san francisco th position boston th,ele,Vienna,1.0,0
“you don’t realize safe vienna go abroad” said hartlauer “we also terrific public transport – underground train run hour weekend cost € per trip”,ele,Vienna,1.0,0
“vienna’s location special” said martin eichtinger austrian ambassador london lived vienna year “the fall berlin wall helped make vienna centre company want business central europe”,ele,Vienna,1.0,0
mercer say zurich switzerland world’s second highest quality life viennese say city far fun “there student vienna germanspeaking city” said hartlauer “it’s young lively city” added,ele,Vienna,1.0,0
tua pittman raratonga cook island traditional navigator canoe form transport “the canoe island crew community navigator leader” say “on canoe going one place another using star moon sun bird navigation showing crew light life”,ele,Pacific Islanders,1.0,0
busy week crew four sailing canoe – sydney start world park congress tua’s journey began cook island september islander sailed samoa fiji vanuatu onto gold coast travelled south sydney around crew involved voyage tried travel using traditional navigation technique sadly said tua crew use modern navigation equipment sometimes reach australia time congress,ele,Pacific Islanders,1.0,0
trip called mua voyage partnership international union conservation nature iucn oceania regional office five pacific island country samoa tonga new zealand cook island fiji main aim km trip deliver special message world park congress,ele,Pacific Islanders,1.0,0
message said “we see fewer fish past smaller foreign fisherman take fish coral reef greatest world fishing ground disappearing ocean big limitless”,ele,Pacific Islanders,1.0,0
pacific islanders’ message delegate congress urgent lot time spent congress trying set new target amount ocean need special protection according iucn le three per cent world’s ocean marine protected area le one per cent ‘no take’ fishing lot ‘notake’ area last world park congress set target,ele,Pacific Islanders,1.0,0
difficult talk world park congress agreed new target marine protected area new target least must try solve problem biodiversity,ele,Pacific Islanders,1.0,0
tua pittman happy congress decided world’s ocean “it’s huge reward effort made hear made decision fantastic it’s step right direction”,ele,Pacific Islanders,1.0,0
lifetime already see much harder catch fish also said pollution getting worse particularly close big city sydney climate change already serious effect pacific islander “the decision big country small effect developed large country big effect small countries”,ele,Pacific Islanders,1.0,0
mua voyage taken year preparation planning critical voyager world listened message took action pittman said leader rich country think like traditional navigator see boat tiny speck enormous sea importantly tua say politician must change thing “the world need find different path”,ele,Pacific Islanders,1.0,0
volcano hurricane earthquake make city totally disappear two thing make disappear – water sand,ele,What is world's,1.0,0
one hundred year ago venice – one beautiful lowlying city world – used flood ten time year lowest point piazza san marco three foot sea level flood approximately time year,ele,What is world's,1.0,0
rising sea level cause many part world land also sinking venice city sank cm ho chi minh city vietnam also sinking cm year – situation jakarta much worse – sinking cm every year past three decade city sunk four metre,ele,What is world's,1.0,0
indonesian capital pumped much water support population land dry creating bowl,ele,What is world's,1.0,0
many plan save venice ho chi minh city jakarta taking problem seriously miami politician accept city serious problem,ele,What is world's,1.0,0
three main problem miami le ten foot sea level increasing number tropical storm flooding city built porous rock absorbs rising seawater water fill city’s foundation come drain pipe force sewage upwards pollutes city’s fresh water possible may one day impossible live miami,ele,What is world's,1.0,0
maldives population whole island may leave home capital malé population four foot sea level malé built tenfoot sea wall cost million long term malé rest island safe sea level stop rising,ele,What is world's,1.0,0
africa sahara getting bigger – moving south rate mile per year problem people live northern mauritania,ele,What is world's,1.0,0
people may leave californian resort rancho mirage near palm spring next decade problem california caused global warming – problem many people total population half million state home million people people million car,ele,What is world's,1.0,0
every person rancho mirage u gallon water every day causing manmade drought reduced water use probably make much difference longterm answer california’s desert people leave city,ele,What is world's,1.0,0
fire growing problem town city america – fact forest fire cause damage bad storm major fire disaster new report usda forest service show increasing number town city particularly vulnerable wildfire,ele,What is world's,1.0,0
many city fighting losing battle nature possible choose world’s vulnerable city natural disaster difficult predict – future malé look bad new sea wall might continue work island around maldives capital going disappear soon disappear malé’s reason existing disappears,ele,What is world's,1.0,0
big international disagreement started right bolivia’s indigenous indian tribe chew coca leaf main ingredient cocaine could significant effect global drug policy bolivia received special exemption convention drug agreement control international drug policy exemption allows bolivia’s indigenous people chew leaf,ele,Bolivia,1.0,0
